iter	Passed	Remaining
217	651	2337
218	665	2372
219	668	2370
220	670	2363
221	673	2359
222	675	2354
223	677	2346
224	678	2337
225	681	2334
226	683	2328
227	685	2321
228	687	2314
229	691	2315
230	707	2354
231	710	2352
232	715	2355
233	721	2361
234	725	2361
235	733	2375
236	737	2373
237	747	2392
238	750	2390
239	752	2382
240	770	2428
241	785	2461
242	796	2480
243	800	2479
244	802	2471
245	819	2512
246	831	2535
247	836	2536
248	840	2534
249	843	2529
250	847	2529
251	853	2534
252	867	2562
253	877	2578
254	889	2597
255	894	2599
256	899	2601
257	901	2593
258	903	2584
259	904	2575
260	906	2566
261	907	2556
262	909	2547
263	910	2538
264	911	2529
265	913	2521
266	915	2514
267	918	2508
268	920	2501
269	922	2494
270	924	2486
271	925	2477
272	927	2469
273	928	2461
274	930	2453
275	931	2444
276	933	2436
277	934	2427
278	936	2419
279	938	2413
280	939	2405
281	941	2396
282	942	2387
283	944	2380
284	946	2374
285	948	2366
286	950	2360
287	952	2353
288	953	2345
289	954	2337
290	955	2329
291	957	2320
292	958	2313
293	960	2307
294	962	2299
295	963	2291
296	965	2284
297	966	2276
298	967	2268
299	969	2261
300	970	2253
301	971	2245
302	972	2238
303	974	2230
304	975	2222
305	976	2215
306	977	2207
307	979	2200
308	980	2193
309	982	2186
310	983	2179
311	985	2172
312	986	2165
313	987	2157
314	988	2150
315	990	2143
316	991	2136
317	992	2129
318	994	2123
319	996	2116
320	997	2109
321	998	2102
322	1000	2096
323	1001	2089
324	1002	2082
325	1004	2076
326	1005	2069
327	1007	2063
328	1008	2056
329	1009	2050
330	1011	2043
331	1012	2036
332	1017	2038
333	1020	2035
334	1022	2030
335	1024	2025
336	1026	2019
337	1028	2013
338	1032	2013
339	1035	2009
340	1036	2003
341	1038	1998
342	1040	1993
343	1044	1992
344	1046	1986
345	1048	1982
346	1050	1976
347	1051	1970
348	1053	1965
349	1054	1959
350	1056	1952
351	1057	1946
352	1058	1940
353	1059	1934
354	1061	1928
355	1062	1922
356	1063	1916
357	1065	1910
358	1067	1905
359	1068	1899
360	1069	1893
361	1070	1886
362	1071	1880
363	1073	1875
364	1074	1869
365	1075	1863
366	1077	1858
367	1080	1855
368	1081	1849
369	1082	1843
370	1084	1837
371	1085	1832
372	1086	1826
373	1087	1820
374	1088	1814
375	1089	1808
376	1090	1802
377	1092	1797
378	1093	1792
379	1095	1786
380	1096	1780
381	1097	1775
382	1098	1769
383	1099	1763
384	1100	1757
385	1101	1751
386	1102	1745
387	1103	1740
388	1104	1734
389	1105	1728
390	1106	1723
391	1107	1717
392	1108	1712
393	1110	1707
394	1111	1701
395	1112	1696
396	1113	1691
397	1115	1686
398	1116	1681
399	1117	1676
400	1119	1671
401	1120	1666
402	1121	1661
403	1124	1659
404	1125	1654
405	1127	1649
406	1128	1644
407	1129	1638
408	1130	1633
409	1134	1632
410	1135	1627
411	1137	1623
412	1141	1622
413	1142	1617
414	1143	1611
415	1144	1607
416	1145	1602
417	1147	1597
418	1148	1592
419	1149	1587
420	1150	1582
421	1151	1577
422	1153	1572
423	1154	1568
424	1155	1563
425	1156	1558
426	1157	1553
427	1158	1548
428	1159	1543
429	1160	1538
430	1161	1533
431	1162	1528
432	1163	1523
433	1164	1518
434	1165	1513
435	1166	1508
436	1167	1504
437	1168	1499
438	1169	1494
439	1170	1489
440	1171	1484
441	1172	1480
442	1173	1475
443	1174	1471
444	1175	1466
445	1176	1461
446	1178	1457
447	1178	1452
448	1179	1447
449	1180	1443
450	1181	1438
451	1183	1434
452	1184	1430
453	1185	1426
454	1186	1421
455	1187	1416
456	1188	1412
457	1189	1407
458	1190	1403
459	1191	1399
460	1192	1394
461	1193	1390
462	1194	1385
463	1196	1381
464	1197	1377
465	1198	1373
466	1199	1368
467	1200	1364
468	1201	1360
469	1202	1355
470	1203	1351
471	1204	1347
472	1205	1343
473	1206	1339
474	1207	1334
475	1208	1330
476	1209	1326
477	1210	1322
478	1211	1317
479	1212	1313
480	1213	1309
481	1214	1305
482	1215	1301
483	1216	1297
484	1218	1293
485	1219	1289
486	1220	1285
487	1221	1281
488	1222	1277
489	1222	1272
490	1223	1268
491	1224	1264
492	1225	1260
493	1226	1256
494	1228	1253
495	1229	1248
496	1230	1244
497	1231	1240
498	1232	1237
499	1234	1234
500	1235	1230
501	1236	1226
502	1237	1222
503	1238	1218
504	1239	1214
505	1240	1211
506	1241	1207
507	1242	1203
508	1243	1199
509	1244	1195
510	1245	1192
511	1247	1188
512	1248	1184
513	1249	1181
514	1250	1177
515	1252	1174
516	1253	1171
517	1254	1167
518	1256	1164
519	1257	1160
520	1258	1156
521	1259	1153
522	1261	1150
523	1262	1146
524	1263	1143
525	1264	1139
526	1265	1135
527	1266	1132
528	1267	1128
529	1269	1125
530	1270	1121
531	1271	1118
532	1273	1115
533	1274	1112
534	1275	1108
535	1276	1105
536	1277	1101
537	1278	1098
538	1279	1094
539	1280	1091
540	1281	1087
541	1282	1084
542	1284	1080
543	1285	1077
544	1287	1075
545	1289	1072
546	1291	1069
547	1293	1066
548	1294	1063
549	1296	1060
550	1298	1057
551	1299	1054
552	1301	1051
553	1303	1049
554	1306	1047
555	1307	1044
556	1308	1041
557	1310	1038
558	1312	1035
559	1313	1032
560	1319	1032
561	1320	1029
562	1322	1026
563	1323	1023
564	1325	1020
565	1326	1017
566	1327	1014
567	1329	1011
568	1330	1008
569	1332	1005
570	1333	1002
571	1336	999
572	1337	996
573	1338	993
574	1340	990
575	1341	987
576	1343	984
577	1344	981
578	1346	978
579	1348	976
580	1350	973
581	1351	970
582	1352	967
583	1353	964
584	1354	961
585	1355	957
586	1357	954
587	1358	951
588	1359	948
589	1362	947
590	1364	944
591	1365	941
592	1366	937
593	1367	935
594	1369	932
595	1371	929
596	1372	926
597	1373	923
598	1375	920
599	1376	917
600	1378	915
601	1380	912
602	1381	909
603	1382	906
604	1384	903
605	1385	900
606	1386	897
607	1387	894
608	1389	891
609	1390	889
610	1391	886
611	1393	883
612	1394	880
613	1395	877
614	1396	874
615	1398	871
616	1399	868
617	1401	865
618	1402	863
619	1403	860
620	1404	857
621	1405	854
622	1407	851
623	1409	849
624	1410	846
625	1412	843
626	1413	841
627	1415	838
628	1417	835
629	1418	833
630	1419	830
631	1421	827
632	1422	824
633	1424	822
634	1427	820
635	1429	817
636	1430	815
637	1432	812
638	1434	810
639	1435	807
640	1436	804
641	1438	802
642	1439	799
643	1440	796
644	1441	793
645	1442	790
646	1444	787
647	1445	785
648	1446	782
649	1447	779
650	1448	776
651	1449	773
652	1451	771
653	1452	768
654	1453	765
655	1455	763
656	1456	760
657	1458	757
658	1459	755
659	1460	752
660	1461	749
661	1462	746
662	1464	744
663	1465	741
664	1466	738
665	1467	736
666	1471	734
667	1472	731
668	1473	729
669	1475	726
670	1476	724
671	1478	721
672	1479	718
673	1482	716
674	1484	714
675	1485	711
676	1486	709
677	1488	706
678	1489	704
679	1490	701
680	1492	698
681	1493	696
682	1494	693
683	1496	691
684	1497	688
685	1498	686
686	1500	683
687	1501	680
688	1502	678
689	1504	675
690	1505	673
691	1506	670
692	1508	668
693	1509	665
694	1511	663
695	1512	660
696	1513	658
697	1514	655
698	1516	652
699	1517	650
700	1518	647
701	1519	645
702	1520	642
703	1521	639
704	1522	637
705	1523	634
706	1524	631
707	1525	629
708	1527	626
709	1528	624
710	1529	621
711	1530	619
712	1531	616
713	1533	614
714	1534	611
715	1535	608
716	1536	606
717	1537	603
718	1538	601
719	1540	599
720	1542	596
721	1544	594
722	1545	592
723	1547	589
724	1548	587
725	1549	584
726	1551	582
727	1552	580
728	1554	577
729	1555	575
730	1556	572
731	1557	570
732	1558	567
733	1559	565
734	1561	562
735	1562	560
736	1563	558
737	1566	556
738	1567	553
739	1568	551
740	1569	548
741	1571	546
742	1572	543
743	1573	541
744	1574	539
745	1576	536
746	1577	534
747	1578	531
748	1580	529
749	1581	527
750	1582	524
751	1583	522
752	1585	520
753	1586	517
754	1587	515
755	1589	512
756	1590	510
757	1592	508
758	1593	506
759	1594	503
760	1595	501
761	1597	498
762	1598	496
763	1599	494
764	1601	491
765	1602	489
766	1603	487
767	1604	484
768	1605	482
769	1606	480
770	1608	477
771	1609	475
772	1610	472
773	1611	470
774	1612	468
775	1613	465
776	1614	463
777	1615	461
778	1616	458
779	1617	456
780	1618	453
781	1619	451
782	1621	449
783	1622	446
784	1623	444
785	1624	442
786	1625	439
787	1626	437
788	1627	435
789	1628	432
790	1630	430
791	1631	428
792	1632	426
793	1633	423
794	1634	421
795	1636	419
796	1637	417
797	1638	414
798	1639	412
799	1640	410
800	1641	407
801	1643	405
802	1645	403
803	1648	401
804	1650	399
805	1651	397
806	1652	395
807	1654	393
808	1655	390
809	1657	388
810	1658	386
811	1659	384
812	1661	382
813	1662	379
814	1664	377
815	1666	375
816	1667	373
817	1669	371
818	1670	369
819	1671	367
820	1673	364
821	1674	362
822	1676	360
823	1677	358
824	1678	356
825	1679	353
826	1681	351
827	1682	349
828	1683	347
829	1684	345
830	1686	342
831	1687	340
832	1689	338
833	1690	336
834	1691	334
835	1693	332
836	1695	330
837	1696	327
838	1698	325
839	1699	323
840	1700	321
841	1701	319
842	1702	317
843	1703	314
844	1705	312
845	1707	310
846	1708	308
847	1709	306
848	1711	304
849	1712	302
850	1714	300
851	1715	297
852	1716	295
853	1717	293
854	1719	291
855	1721	289
856	1722	287
857	1723	285
858	1724	283
859	1726	280
860	1727	278
861	1728	276
862	1729	274
863	1731	272
864	1732	270
865	1734	268
866	1735	266
867	1737	264
868	1738	262
869	1739	259
870	1741	257
871	1742	255
872	1743	253
873	1744	251
874	1746	249
875	1747	247
876	1749	245
877	1751	243
878	1752	241
879	1753	239
880	1755	237
881	1756	235
882	1758	232
883	1759	230
884	1761	228
885	1762	226
886	1764	224
887	1765	222
888	1767	220
889	1768	218
890	1769	216
891	1771	214
892	1772	212
893	1773	210
894	1775	208
895	1776	206
896	1778	204
897	1779	202
898	1781	200
899	1783	198
900	1784	196
901	1787	194
902	1788	192
903	1790	190
904	1792	188
905	1793	186
906	1795	184
907	1797	182
908	1798	180
909	1799	178
910	1801	176
911	1802	173
912	1804	171
913	1805	169
914	1806	167
915	1808	165
916	1809	163
917	1810	161
918	1811	159
919	1813	157
920	1814	155
921	1816	153
922	1817	151
923	1819	149
924	1820	147
925	1822	145
926	1823	143
927	1824	141
928	1826	139
929	1827	137
930	1828	135
931	1830	133
932	1831	131
933	1833	129
934	1834	127
935	1836	125
936	1837	123
937	1838	121
938	1840	119
939	1841	117
940	1843	115
941	1844	113
942	1845	111
943	1847	109
944	1848	107
945	1850	105
946	1851	103
947	1852	101
948	1853	99
949	1855	97
950	1856	95
951	1857	93
952	1858	91
953	1860	89
954	1862	87
955	1864	85
956	1865	83
957	1866	81
958	1867	79
959	1868	77
960	1870	75
961	1871	73
962	1872	71
963	1874	69
964	1875	68
965	1876	66
966	1877	64
967	1878	62
968	1879	60
969	1880	58
970	1882	56
971	1883	54
972	1884	52
973	1885	50
974	1886	48
975	1888	46
976	1889	44
977	1892	42
978	1893	40
979	1894	38
980	1895	36
981	1896	34
982	1897	32
983	1899	30
984	1900	28
985	1902	27
986	1903	25
987	1904	23
988	1905	21
989	1906	19
990	1908	17
991	1909	15
992	1910	13
993	1911	11
994	1912	9
995	1914	7
996	1916	5
997	1917	3
998	1918	1
999	1920	0
